Satellite,Inclination,Altitude_km,Eccentricity,Inclination_rad,Altitude_norm,Collision_risk
STARLINK-1190,53.0497,359.685423081045,0.000801,0.9258919321952359,0.4720284332971533,0
STARLINK-1173,53.0455,335.90164843506955,0.0009554,0.9258186283666521,0.41558515793702977,0
STARLINK-1179,53.0392,302.58117688921993,0.0004733,0.9257086726237764,0.3365095453151368,0
STARLINK-1185,53.0569,554.3507004053909,0.0001252,0.9260175959013794,0.9340049704374483,1
STARLINK-1183,53.0534,554.3497441697536,0.0001136,0.9259565093775597,0.9340027011142571,1
STARLINK-1176,53.0492,342.8058099418204,0.0005392,0.9258832055489759,0.4319700041129183,0
STARLINK-1142,53.0383,425.3165356963482,0.0006443,0.9256929646605084,0.6277831449305182,0
STARLINK-1146,53.0455,299.3831667311615,0.0004649,0.9258186283666521,0.3289200785192803,0
STARLINK-1147,53.0412,310.5107107930871,0.0009334,0.9257435792088163,0.35532778894027756,0
STARLINK-1152,53.0482,511.2529629152296,0.0005011,0.925865752256456,0.8317261059273054,0
STARLINK-1184,53.0535,554.3673181171762,0.0001005,0.9259582547068116,0.9340444073265088,1
STARLINK-1193,53.0544,554.3159757779986,0.0001203,0.9259739626700796,0.9339225625045254,1
STARLINK-1143,53.0563,474.11762605143485,0.0004851,0.9260071239258675,0.7435971156642398,0
STARLINK-1201,53.0359,261.45769010871754,0.0003641,0.9256510767584606,0.238915941159748,0
STARLINK-1202,53.0545,554.3754860257022,0.0001301,0.9259757079993315,0.9340637912769926,1
STARLINK-1216,53.0538,554.3831114719851,0.0001459,0.9259634906945676,0.9340818878647165,1
STARLINK-1224,53.0342,248.90394084764284,0.000416,0.9256214061611767,0.209123583264838,0
STARLINK-1225,53.0532,554.391536878963,0.0001275,0.9259530187190556,0.9341018829064269,1
STARLINK-1230,53.0537,554.3725222827516,0.000138,0.9259617453653156,0.9340567577694038,1
STARLINK-1234,53.0558,554.372574385754,0.000138,0.9259983972796074,0.9340568814194197,1
STARLINK-1237,53.0365,186.49299444949884,0.000585,0.9256615487339726,0.06101091883407048,0
STARLINK-1240,53.0375,282.3171732150586,0.0001743,0.9256790020264926,0.2884193343917505,0
STARLINK-1244,53.0357,269.40904304076594,0.0002209,0.9256475860999566,0.2577859653552168,0
